Cost Code Tier 1,Cost Code Tier 2,Cost Type,Budget Code,Budget Code Description,Original Budget Amount (A),Notes
32 - Exterior Improvements,32-7605-10000- - Track & Field Equipment (Supply),S - Subcontractor Costs,32-7605-10000-.S,Track & Field Equipment (Supply),156973,
32 - Exterior Improvements,32-7610-10000- - Track Equipment (Install),S - Subcontractor Costs,32-7610-10000-.S,Track Equipment (Install),109237,
32 - Exterior Improvements,32-7615-10000- - Field Equipment (Install),S - Subcontractor Costs,32-7615-10000-.S,Field Equipment (Install),40880,
32 - Exterior Improvements,32-7620-10000- - Running Track Surfacing,S - Subcontractor Costs,32-7620-10000-.S,Running Track Surfacing,450741,
32 - Exterior Improvements,32-7650-10000- - Synthetic Turf Sports Field,S - Subcontractor Costs,32-7650-10000-.S,Synthetic Turf Sports Field,1139000,
32 - Exterior Improvements,32-8000-10000- - Landscaping & Irrigation,S - Subcontractor Costs,32-8000-10000-.S,Landscaping & Irrigation,350200,
50 - Testing and Inspections,50-1000-10000- - Final Clean,S - Subcontractor Costs,50-1000-10000-.S,Final Clean,5226,
80 - Allowance,80-2510-10000- - Allowance #1 - Propane Work at Existing ES,O - Other Direct Costs,80-2510-10000-.O,Allowance #1 - Propane Work at Existing ES,200000,
85 - Bonds and Insurance,85-2100-10000- - Payment and Performance Bond,O - Other Direct Costs,85-2100-10000-.O,Payment and Performance Bond,91506,
85 - Bonds and Insurance,85-2200-10000- - General Liability,O - Other Direct Costs,85-2200-10000-.O,General Liability,144946,
85 - Bonds and Insurance,85-2250-10000- - Subcontractor Default Insurance,O - Other Direct Costs,85-2250-10000-.O,Subcontractor Default Insurance,155882,
85 - Bonds and Insurance,85-2300-10000- - Builders Risk Insurance,O - Other Direct Costs,85-2300-10000-.O,Builders Risk Insurance,23086,
85 - Bonds and Insurance,85-2500-10000- - Warranty,O - Other Direct Costs,85-2500-10000-.O,Warranty,50416,
90 - Contingency,90-1000-10000- - CMAR Construction Contingency,O - Other Direct Costs,90-1000-10000-.O,CMAR Construction Contingency,315101,
98 - Fee,98-1000-10000- - CMAR Fee,O - Other Direct Costs,98-1000-10000-.O,CMAR Fee,600190,
